icd10_dx_code
H4010X
H4011X
H4011X0
H4011X1
H4011X2
H4011X3
H4011X4
H4020X
H4030X
H4031X
H4032X
H4033X
H4040X
H4041X
H4042X
H4043X
H4050X
H4051X
H4052X
H4053X
H4060X
H4061X
H4062X
H4063X
I6020
I6021
I6022
IN
M1A00X
M1A09X
M1A10X
M1A20X
M1A30X
M1A39X
M1A40X
M1A49X
M1A9XX
M4717
M4840X
M4842X
M4844X
M4845X
M4846X
M4847X
M4848X
M4850X
M4852X
M4853X
M4854X
M4855X
M4856X
M4857X
M4858X
M5107
M8000X
M8008X
M8080X
M8088X
M8430X
M8438X
M8440X
M8448X
M8450X
M8458X
M8460X
M8468X
NA
O321XX
O329XX
O334XX
O350XX
O358XX
O359XX
O3661X
O3663X
O3680X
O3693X
O403XX
O4103X
O4190X
O6014X
O649XX
O6989X
S0000X
S0001X
S0002X
S0003X
S0005X
S0006X
S0007X
S0010X
S0011X
S0012X
S0030X
S0031X
S0032X
S0033X
S0034X
S0035X
S0036X
S0037X
S0080X
S0081X
S0082X
S0083X
S0085X
S0086X
S0087X
S0090X
S0091X
S0092X
S0093X
S0095X
S0096X
S0097X
S0100X
S0101X
S0102X
S0103X
S0104X
S0105X
S0120X
S0121X
S0122X
S0123X
S0124X
S0125X
S0180X
S0181X
S0182X
S0183X
S0184X
S0185X
S0190X
S0191X
S0192X
S0193X
S0194X
S0195X
S020XX
S0210X
S0210XA
S0210XB
S0210XD
S0210XG
S0210XK
S0210XS
S0219X
S022XX
S023XX
S023XXA
S023XXB
S023XXD
S023XXG
S023XXK
S023XXS
S0242X
S025XX
S0261X
S0261XA
S0261XB
S0261XD
S0261XK
S0261XS
S0262X
S0262XA
S0262XB
S0262XD
S0262XG
S0262XS
S0263X
S0263XA
S0263XB
S0263XG
S0263XS
S0264X
S0264XA
S0264XB
S0264XD
S0264XG
S0264XS
S0265X
S0265XA
S0265XB
S0265XD
S0265XS
S0266X
S0267XA
S0267XB
S0267XD
S0269X
S028XX
S028XXA
S028XXB
S028XXD
S028XXG
S028XXK
S028XXS
S0291X
S0292X
S030XX
S030XXA
S030XXD
S030XXS
S031XX
S032XX
S034XX
S034XXA
S034XXD
S034XXS
S038XX
S039XX
S0411X
S0412X
S0420X
S0421X
S0430X
S0431X
S0432X
S0441X
S0442X
S0450X
S0451X
S0452X
S0470X
S0471X
S0472X
S049XX
S0500X
S0501X
S0502X
S0510X
S0511X
S0512X
S0520X
S0521X
S0522X
S0530X
S0531X
S0532X
S0540X
S0541X
S0542X
S0551X
S0552X
S0561X
S0562X
S0570X
S0571X
S0572X
S0590X
S0591X
S0592X
S060X2
S060X2A
S060X2D
S060X2S
S060X3A
S060X3D
S060X3S
S060X4
S060X4A
S060X4D
S060X4S
S060X5
S060X5A
S060X5D
S060X5S
S060X6
S060X6A
S060X6D
S060X6S
S060X7A
S060X7D
S060X7S
S060X8A
S062X7D
S062X8D
S06307S
S06308D
S06317S
S06327S
S06337D
S06337S
S06347D
S06367D
S06367S
S06368D
S065X7D
S065X7S
S065X8D
S065X8S
S066X7D
S066X7S
S06897D
S06897S
S069X7D
S069X7S
S069X8D
S069X8S
S070XX
S071XX
S079XX
S080XX
S0889X
S090XX
S0910X
S0911X
S0912X
S0919X
S0920X
S0921X
S0922X
S098XX
S0990X
S0991X
S0992X
S0993X
S100XX
S1010X
S1011X
S1012X
S1014X
S1015X
S1016X
S1080X
S1081X
S1083X
S1085X
S1086X
S1087X
S1090X
S1091X
S1093X
S1095X
S1096X
S1097X
S1111X
S1120X
S1121X
S1122X
S1123X
S1180X
S1181X
S1182X
S1183X
S1184X
S1185X
S1189X
S1190X
S1191X
S1192X
S1193X
S1194X
S1195X
S1201X
S1202X
S1214X
S128XX
S129XX
S130XX
S1320X
S1329X
S134XX
S135XX
S138XX
S139XX
S140XX
S142XX
S143XX
S144XX
S145XX
S148XX
S149XX
S159XX
S161XX
S162XX
S168XX
S169XX
S178XX
S179XX
S1980X
S1981X
S1982X
S1983X
S1984X
S1985X
S1989X
S199XX
S2000X
S2001X
S2002X
S2020X
S2090X
S2091X
S2095X
S2096X
S2097X
S2190X
S2191X
S2192X
S2193X
S2194X
S2195X
S2220X
S2221X
S2222X
S2223X
S2224X
S2231X
S2232X
S2239X
S2241X
S2242X
S2243X
S2249X
S225XX
S229XX
S230XX
S2320X
S2329X
S233XX
S2341X
S238XX
S239XX
S240XX
S242XX
S243XX
S248XX
S249XX
S2500X
S2501X
S2502X
S2509X
S2520X
S2600X
S2610X
S2611X
S2690X
S2691X
S2692X
S2699X
S270XX
S271XX
S272XX
S2760X
S2769X
S279XX
S280XX
S281XX
S298XX
S299XX
S300XX
S301XX
S3021X
S3022X
S3023X
S303XX
S3091X
S3092X
S3093X
S3094X
S3095X
S3097X
S3120X
S3121X
S3125X
S3130X
S3131X
S3132X
S3133X
S3134X
S3135X
S3140X
S3141X
S3142X
S3143X
S3145X
S3210X
S3214X
S3215X
S3216X
S3217X
S3219X
S322XX
S3282X
S3289X
S329XX
S330XX
S332XX
S3330X
S3339X
S334XX
S335XX
S336XX
S338XX
S339XX
S3401X
S3402X
S3421X
S3422X
S343XX
S344XX
S345XX
S346XX
S349XX
S3500X
S3501X
S3509X
S3510X
S3512X
S3519X
S3550X
S3559X
S3590X
S3591X
S3599X
S3600X
S3609X
S3613X
S3630X
S3633X
S3639X
S3660X
S3662X
S3663X
S3669X
S3681X
S3690X
S3692X
S3699X
S3710X
S3712X
S3713X
S3719X
S3720X
S3722X
S3723X
S3729X
S3730X
S3732X
S3733X
S3739X
S3769X
S3790X
S3792X
S3799X
S3802X
S381XX
S383XX
S3981X
S3982X
S3983X
S3991X
S3992X
S3993X
S3994X
S4290X
S4291X
S4292X
S4350X
S4351X
S4352X
S4360X
S4361X
S4362X
S4380X
S4381X
S4382X
S4390X
S4391X
S4392X
S4400X
S4401X
S4402X
S4410X
S4411X
S4412X
S4420X
S4421X
S4422X
S4430X
S4431X
S4432X
S4440X
S4441X
S4451X
S4452X
S4490X
S4491X
S4492X
S471XX
S472XX
S4980X
S4981X
S4982X
S4990X
S4991X
S4992X
S5000X
S5001X
S5002X
S5010X
S5011X
S5012X
S5290X
S5291X
S5292X
S5320X
S5321X
S5322X
S5330X
S5331X
S5332X
S5400X
S5401X
S5402X
S5410X
S5411X
S5412X
S5420X
S5421X
S5422X
S5430X
S5431X
S5432X
S5490X
S5491X
S5492X
S5700X
S5701X
S5702X
S5781X
S5782X
S6000X
S6010X
S6290X
S6291X
S6292X
S63131
S63131A
S63131D
S63132
S63132A
S63132D
S63134A
S63134D
S63135
S63135A
S63135D
S63136A
S63136D
S63141
S63141A
S63141D
S63142
S63142A
S63144
S63144A
S63144D
S63144S
S63145
S63145A
S63145D
S6390X
S6391X
S6392X
S6400X
S6401X
S6402X
S6410X
S6411X
S6412X
S6420X
S6421X
S6422X
S6431X
S6432X
S6440X
S6490X
S6491X
S6492X
S6700X
S6701X
S6702X
S6710X
S6720X
S6721X
S6722X
S6730X
S6731X
S6732X
S6741X
S6742X
S6790X
S6791X
S6792X
S6980X
S6981X
S6982X
S6990X
S6991X
S6992X
S7000X
S7001X
S7002X
S7010X
S7011X
S7012X
S7221X
S7222X
S7223X
S7224X
S7225X
S7226X
S7290X
S7291X
S7292X
S7400X
S7401X
S7402X
S7410X
S7411X
S7412X
S7420X
S7421X
S7422X
S7490X
S7491X
S7701X
S7702X
S7710X
S7711X
S8000X
S8001X
S8002X
S8010X
S8011X
S8012X
S8251X
S8252X
